,Laptop Name,Price,Rating
91,HP Pavilion Gaming Ryzen 7 Octa Core AMD R7,79999,4.4
92,HP Ryzen 5 Hexa Core 5500U,45490,4.3
93,ASUS Vivobook S14 OLED (2022) Intel EVO Core i7 12th Gen,82990,4.1
94,Lenovo IdeaPad Gaming 3 Ryzen 5 Hexa Core 5600H,54990,3.6
95,HP Victus Intel Core i7 12th Gen,82990,4.5
96,APPLE 2022 MacBook AIR M2,135990,4.5
97,APPLE 2023 MacBook Pro M2 Pro,269900,0
98,ASUS Vivobook 15 Core i3 11th Gen,36815,0
99,HP Victus Intel Core i5 11th Gen,58990,4.1
100,APPLE 2022 MacBook Pro M2,135990,4.5
101,ASUS ROG Strix G15 Ryzen 7 Octa Core AMD R7,85990,4.4
102,DELL Inspiron Core i5 11th Gen,53490,4.2
103,HP Victus Intel Core i5 12th Gen,64990,4.3
104,HP Pavilion Ryzen 5 Hexa Core 5625U,56999,4.2
105,ASUS VivoBook K15 OLED (2022) Core i3 11th Gen,42090,4.4
106,ASUS ZenBook Duo 14 (2021) Touch Panel Core i5 11th Gen,74990,0
107,MSI Bravo 15 Ryzen 7 Octa Core 5800H,62990,0
108,ASUS EeeBook 14 with NumberPad Pentium Silver,27990,4.1
109,ASUS Vivobook S14 OLED (2022) Intel EVO Core i5 12th Gen,70990,4.4
110,ASUS Vivobook 14 (2022) Core i3 12th Gen,43990,4.3
111,HP Victus Ryzen 7 Octa Core 5800H,81990,4
112,Lenovo IdeaPad 3 Intel Core i5 11th Gen,50990,4.2
113,DELL Inspiron Ryzen 3 Dual Core 3250U,35990,4.2
114,APPLE 2022 MacBook Pro M2,135990,4.6
115,HP Pavilion Gaming Ryzen 7 Octa Core AMD R7,79999,4.4
116,MSI Crosshair 15 Core i7 12th Gen,109990,4.5
117,APPLE 2023 MacBook Pro M2 Max,349900,0
118,ASUS Vivobook Pro 15 Ryzen 7 Octa Core AMD R7,59990,4.4
119,HP Victus Intel Core i7 12th Gen,82990,4.5
120,ASUS ROG Strix G15 Ryzen 7 Octa Core AMD R7,74990,4.5
121,MSI Alpha 15 AMD Advantage Edition Ryzen 7 Octa Core 5800H,74990,4.5
122,Lenovo IdeaPad Gaming 3 Ryzen 7 Octa Core AMD R7,72990,4.5
123,HP Victus Intel Core i5 11th Gen,58990,4.1
124,ASUS Vivobook 16X Ryzen 5 Hexa Core R5,54990,4.5
125,DELL G15 Core i7 12th Gen,138900,4.2
126,HP Laptop Core i3 11th Gen,40990,3.8
127,HP Victus Intel Core i5 12th Gen,64990,4.3
128,Lenovo Ideapad Gaming 3 Ryzen 5 Hexa Core AMD R5,66990,4.4
129,ASUS Vivobook Go 15 OLED (2023) Ryzen 3 Quad Core 7320U,47990,4.9
130,realme Book (Slim) Core i3 11th Gen,46990,4.4
131,MSI Bravo 15 Ryzen 7 Octa Core 5800H,62990,0
132,Lenovo IdeaPad Gaming 3 Intel Core i5 11th Gen,53990,4.3
133,MSI Core i7 12th Gen,170990,4.5
134,HP Athlon Dual Core 3050U,34999,4
135,HP Victus Ryzen 7 Octa Core 5800H,81990,4
136,acer Aspire 7 Ryzen 5 Hexa Core AMD R5,52990,4.4
137,MSI Core i7 13th Gen,75990,0
138,ASUS Chromebook Flip Touch Celeron Dual Core,14990,4
139,HP Pavilion Gaming Ryzen 7 Octa Core AMD R7,79999,4.4
140,HP 15s Intel Core i3 11th Gen,40990,4.2
141,HP Pavilion (2023) Eyesafe Intel Core i7 12th Gen,90990,4.3
142,ASUS VivoBook K15 OLED Ryzen 7 Octa Core AMD R7,57990,4.4
143,HP Victus Intel Core i7 12th Gen,82990,4.5
144,DELL Core i7 11th Gen,103490,4.1
145,ASUS ROG Strix SCAR 18 (2023) Core i9 13th Gen,279990,0
146,ASUS Vivobook 14 (2022) Core i5 12th Gen,63990,4.4
147,HP Victus Intel Core i5 11th Gen,58990,4.1
148,Infinix X1 Slim Series Core i5 10th Gen,36990,4.2
149,ASUS ROG Flow Z13 (2022) Core i9 12th Gen,181990,0
150,MSI Crosshair 15 Core i7 12th Gen,109990,4.5
151,HP Victus Intel Core i5 12th Gen,64990,4.3
152,HP 15s Intel Core i3 11th Gen,40450,4.3
153,HP Victus Core i7 12th Gen,83699,0
154,HP Pavilion Intel Core i5 12th Gen,62999,4.3
155,HP Victus Ryzen 7 Octa Core 5800H,81990,4
156,HP Pavilion (2023) Eyesafe Intel Core i5 12th Gen,72990,4.3
157,HP Pavilion Intel Core i3 11th Gen,52990,4.3
158,ASUS Vivobook 14 (2022) Core i5 12th Gen,53990,4.6
159,HP Pavilion Gaming Ryzen 7 Octa Core AMD R7,79900,4.4
160,ASUS Zenbook 14 OLED (2023) Ryzen 7 Octa Core 7730U,104990,0
161,ASUS VivoBook 14 (2022) Ryzen 5 Quad Core AMD R5,38990,4.2
162,ASUS Zenbook 14 Flip Ryzen 5 Hexa Core 5600H,88990,4.8
163,HP Victus Intel Core i7 12th Gen,82990,4.5
164,DELL Core i5 12th Gen,63890,3.9
165,DELL Ryzen 5 Hexa Core AMD R5,74490,3.7
166,ASUS ROG Strix G15 Ryzen 7 Octa Core AMD R7,74990,4.5
167,HP OMEN Ryzen 7 Octa Core AMD R7,110380,4.3
168,ASUS ROG Zephyrus G14 (2022) Ryzen 9 Octa Core 6900HS,191990,0
169,ASUS ROG Zephyrus Duo 16 (2022) Dual Screen Laptop with 90Whr Battery Ryzen 7 Octa Core 6800H,224990,0
170,acer Swift 3 Core i5 12th Gen,64150,4.4
171,HP Victus Intel Core i5 11th Gen,58990,4.1
172,DELL Inspiron Core i3 11th Gen,42990,3.5
173,ASUS Zenbook Pro 14 Duo OLED (2022) with Dual Screen Touch Panel Core i9 12th Gen,184004,0
174,DELL Vostro Core i3 10th Gen,40690,4.1
175,HP Victus Intel Core i5 12th Gen,64990,4.3
176,ASUS VivoBook Flip 14 Core i3 11th Gen,44990,4.4
177,HP Pavilion Aero (2023) Ryzen 5 Hexa Core 7535U,68990,4.7
178,ASUS ROG Zephyrus Duo 16 Ryzen 9 16 Core 7945HX,379990,0
179,HP Victus Ryzen 7 Octa Core 5800H,81990,4
180,Lenovo Ideapad AMD Ryzen 5 Hexa Core 5500U,48490,4.5
181,Lenovo IdeaPad Gaming 3 Ryzen 7 Octa Core AMD R7,67990,4.5
182,acer Aspire 5 Core i5 12th Gen,57990,3.3
183,HP Pavilion Gaming Ryzen 7 Octa Core AMD R7,79900,4.4
184,HP Pavilion Ryzen 5 Hexa Core 5625U,59490,4.3
185,DELL Inspiron Core i3 11th Gen,44900,4.2
186,HP Ryzen 5 Hexa Core 5500U,50990,4.3
187,HP Victus Intel Core i7 12th Gen,82990,4.5
188,DELL Core i5 12th Gen,82990,4.6
189,ASUS Vivobook 15 Core i3 12th Gen,44890,0
190,DELL Inspiron Core i5 11th Gen,62490,4.3
191,HP OMEN Ryzen 7 Octa Core AMD R7,110380,4.3
192,MSI Core i7 13th Gen,189990,0
193,HP Ryzen 5 Hexa Core 5500U,50990,4.3
194,ASUS Vivobook AMD R5 5600H Ryzen 5 Hexa Core 10th Gen,54990,0
195,HP Victus Intel Core i5 11th Gen,58990,4.1
196,DELL Inspiron Ryzen 5 Hexa Core 5500U,65000,4.4
197,DELL Inspiron Core i5 11th Gen,59890,4.2
198,MSI Core i9 13th Gen,359990,0
199,HP Victus Intel Core i5 12th Gen,64990,4.3
200,DELL Inspiron Core i5 11th Gen,55490,4
201,DELL Inspiron 14 3000 Series Core i3 7th Gen,30990,3.8
202,acer Aspire 3 Pentium Quad Core,19990,4.2
203,HP Victus Ryzen 7 Octa Core 5800H,81990,4
204,ASUS ROG Zephyrus G15 Ryzen 9 Octa Core AMD R9,189990,0
205,HP Ryzen 3 Quad Core 5300U,38490,4.2
206,ASUS ZenBook 13 Core i7 8th Gen,66990,4.3
207,MSI Bravo 15 Ryzen 7 Octa Core 5800H,62990,0
208,DELL Core i9 12th Gen,138990,5
209,Lenovo IdeaPad Gaming 3 Intel Core i5 11th Gen,66990,4.3
210,ASUS ROG Zephyrus Duo 16 (2022) Dual Screen Laptop with 90Whr Battery Ryzen 7 Octa Core 6800H,224990,0
211,HP Pavilion Gaming Ryzen 7 Octa Core AMD R7,79999,4.4
212,HP Victus Ryzen 5 Hexa Core 5600H,67490,4.7
213,Infinix INBook X2 Plus Core i3 11th Gen,31990,4.2
214,ASUS Vivobook Flip Core i5 12th Gen,79990,4.2
215,HP Victus Intel Core i7 12th Gen,82990,4.5
216,acer Core i7 6th Gen,116640,0
217,DELL Ryzen 7 Octa Core AMD R7,87099,4.4
218,APPLE 2020 Macbook Air M1,84490,4.7
219,HP Victus Intel Core i5 11th Gen,58990,4.1
220,HP Ryzen 5 Hexa Core 5500U,47990,4.3
221,ASUS ROG Strix G15 (2022) Ryzen 7 Octa Core AMD R7,92990,4.4
222,ASUS Vivobook Pro 15 Ryzen 7 Octa Core AMD R7,59990,4.4
223,HP Victus Intel Core i5 12th Gen,64990,4.3
224,APPLE 2021 Macbook Pro M1 Pro,259900,4.8
225,ASUS ROG Strix G15 Advantage Edition with 90Whr Battery Ryzen 9 Octa Core 5980HX,134990,4.9
226,MSI Core i5 12th Gen,54990,0
227,MSI Bravo 15 Ryzen 7 Octa Core 5800H,62990,0
228,HP Victus Ryzen 5 Hexa Core 5600H,57990,4.1
229,ASUS ROG Strix G15 Advantage Edition Ryzen 9 Octa Core AMD R9,146990,4.6
230,SAMSUNG Galaxy Book3 Core i7 Core i7 13th Gen,89990,0
231,HP Victus Ryzen 7 Octa Core 5800H,81990,4
232,HP Pavilion Aero (2023) Ryzen 5 Hexa Core 7535U,68990,4.4
233,Lenovo Athlon Dual Core 3050U,20990,3.8
234,HP Core i5 12th Gen,68990,0
235,HP Pavilion Gaming Ryzen 7 Octa Core AMD R7,79999,4.4
236,APPLE 2023 MacBook Pro M2 Pro,249900,0
237,APPLE MacBook Air M1,129990,4.7
238,ASUS ROG Strix SCAR 15 Core i9 12th Gen,274990,0
239,HP Victus Intel Core i7 12th Gen,82990,4.5
240,ASUS Core i5 10th Gen,68804,0
241,ASUS TUF Dash F15 Core i7 12th Gen,146000,4.9
242,ASUS ROG Strix SCAR 15 (2022) Core i9 12th Gen,274990,5
243,HP Victus Intel Core i5 11th Gen,58990,4.1
244,DELL Core i5 12th Gen,57990,4.1
245,HP Victus Ryzen 7 Octa Core 5800H,81990,4
246,ASUS VivoBook 14 (2022) Core i5 11th Gen,52990,4.2
247,HP Victus Intel Core i5 12th Gen,64990,4.3
248,ALIENWARE Core i9 10th Gen,325990,4.6
249,ASUS Core i3 12th Gen,42990,3.9
250,ASUS VivoBook Flip 14 Core i3 11th Gen,44990,4.4
251,MSI Bravo 15 Ryzen 7 Octa Core 5800H,62990,0
252,Lenovo IdeaPad 1 Ryzen 3 Dual Core 3250U,36990,4.2
253,HP 15s Intel Core i5 12th Gen,62490,4.1
254,HP Pavilion (2023) Eyesafe Ryzen 5 Hexa Core 5625U,63000,4.5
255,HP Pavilion Gaming Ryzen 7 Octa Core AMD R7,79999,4.4
256,ASUS Vivobook Pro 15 OLED Core i5 12th Gen,84990,4.4
257,ASUS Zenbook Flip 13 OLED Touch Panel Intel EVO Core i5 11th Gen,84990,4.3
258,HP Victus Ryzen 7 Octa Core 5800H,72990,4.7
259,HP Victus Intel Core i7 12th Gen,82990,4.5
260,Lenovo IdeaPad 3 Intel Core i3 10th Gen,31990,3.9
261,Lenovo Ideapad 5 Ryzen 7 Octa Core 5700U,66998,3.8
262,HP Pavilion Aero (2023) Ryzen 7 Octa Core 7735U,78990,0
263,HP OMEN Ryzen 7 Octa Core AMD R7,110380,4.3
264,APPLE 2023 MacBook Pro M2 Max,349900,0
265,HP Victus Intel Core i5 12th Gen,64990,4.3
266,Nokia PureBook X14 Core i5 10th Gen,43990,4.4
267,HP Victus Intel Core i5 11th Gen,58990,4.1
268,MSI Core i7 13th Gen,94990,0
269,ASUS ROG Zephyrus Duo 16 Ryzen 9 16 Core 7945HX,379990,0
270,ASUS VivoBook Flip 14 Core i5 11th Gen,63990,4.5
271,MSI Bravo 15 Ryzen 7 Octa Core 5800H,62990,0
272,MSI Sword 15 Core i5 12th Gen,85990,4.7
273,HP Omen Intel Core i9 12th Gen,296000,0
274,MSI CreatorPro M16 Core i7 12th Gen,109990,0
275,HP Victus Ryzen 7 Octa Core 5800H,81990,4
276,DELL Core i5 12th Gen,57990,4.1
277,Lenovo IdeaPad Flex 5 Ryzen 5 Hexa Core 5500U,92290,0
278,ASUS ROG Strix SCAR 18 (2023) Core i9 13th Gen,279990,0
279,HP Pavilion Gaming Ryzen 7 Octa Core AMD R7,79999,4.4
280,ASUS ROG Zephyrus M16 (2022) with 90Whr Battery Core i7 12th Gen,179990,5
281,Infinix INBook X2 Plus Core i3 11th Gen,31990,4.2
282,DELL Inspiron Core i5 11th Gen,55890,4.1
283,HP Victus Intel Core i7 12th Gen,82990,4.5
284,Lenovo Yoga 6 Ryzen 7 Octa Core 5700U,86990,0
285,ASUS VivoBook K15 OLED (2022) Core i5 11th Gen,62990,4.3
286,APPLE 2023 MacBook Pro M2 Pro,239990,0
287,HP OMEN Ryzen 7 Octa Core AMD R7,110380,4.3
288,MSI Ryzen 5 Hexa Core 7530U,45990,0
289,ASUS Vivobook Flip 14 (2023) Touch Screen Ryzen 5 Hexa Core 7530U,75476,0
290,ASUS Vivobook Go 15 OLED (2023) Ryzen 3 Quad Core 7320U,47990,4.9
291,HP Victus Intel Core i5 11th Gen,58990,4.1
292,ASUS Zenbook 14 OLED (2023) Ryzen 5 Hexa Core 7530U,89990,0
293,Lenovo Yoga 9i Intel Core i7 12th Gen,180798,0
294,ASUS Vivobook S 14 Flip Ryzen 5 Hexa Core R5,62391,0
295,HP Victus Intel Core i5 12th Gen,64990,4.3
296,HP Ryzen 5 Hexa Core 5500U,45490,0
297,ASUS ROG Strix G15 Ryzen 9 Octa Core AMD R9,104990,4.4
298,DELL Alienware Core i9 11th Gen,323990,0
299,HP Victus Ryzen 7 Octa Core 5800H,81990,4
300,Lenovo IdeaPad 3 Intel Celeron Dual Core 4th Gen,25940,4
301,Lenovo IdeaPad 3 Intel Core i5 12th Gen,56990,4.2
302,acer Aspire 3 Core i5 12th Gen,56990,0
303,MSI Bravo 15 Ryzen 7 Octa Core 5800H,62990,0
304,ASUS Vivobook 15 Ryzen 3 Dual Core AMD R3,34990,4.3
305,DELL Alienware Core i9 12th Gen,334990,0
306,ASUS TUF Gaming A15 with 90Whr Battery Ryzen 7 Octa Core 6800HS,112990,0
307,HP Pavilion Gaming Ryzen 7 Octa Core AMD R7,79999,4.4
308,MSI Raider GE66 Core i7 12th Gen,244990,0
309,DELL Inspiron Core i3 12th Gen,44490,0
310,DELL Ryzen 5 Hexa Core 5600H,66990,4.7
311,HP Victus Intel Core i7 12th Gen,82990,4.5
312,Lenovo IdeaPad Slim 3 Intel Core i5 11th Gen,57490,4.1
313,HP Athlon Dual Core 3050U,25490,3.8
314,HP intel Celeron Dual Core,20990,3.9
315,HP Victus Intel Core i5 11th Gen,58990,4.1
316,MSI Core i5 12th Gen,57990,0
317,DELL Core i7 12th Gen,157375,0
318,Lenovo IdeaPad 3 Intel Core i5 12th Gen,60990,4.1
319,HP Victus Intel Core i5 12th Gen,64990,4.3
320,HP 15s Core i3 11th Gen,37290,4.5
321,ASUS ROG Zephyrus Duo 16 (2022) Dual Screen Laptop with 90Whr Battery Ryzen 9 Octa Core 6900HX,361990,0
322,ASUS Zenbook 14X (2022) Space Edition Core i9 12th Gen,154990,4.5
323,MSI Bravo 15 Ryzen 7 Octa Core 5800H,62990,0
324,MSI Alpha 15 Ryzen 7 Octa Core 5800H,98990,4.5
325,HP Envy x360 Creator OLED Eyesafe Intel Evo Core i7 12th Gen,104990,4.3
326,ASUS Vivobook Pro 15 Ryzen 5 Hexa Core 5600H,67461,0
327,HP Victus Ryzen 7 Octa Core 5800H,81990,4
328,APPLE 2022 MacBook AIR M2,129990,0
329,Lenovo Legion 5 Pro Ryzen 7 Octa Core 6800H,179990,0
330,HP Ryzen 9 Octa Core 6900HX,154490,0
331,HP Pavilion Gaming Ryzen 7 Octa Core AMD R7,79999,4.4
332,Lenovo IdeaPad Ryzen 5 Hexa Core 5500U,86290,0
333,ASUS ROG Strix G17 with 90Whr Battery Ryzen 9 Octa Core 6900HX,210990,0
334,ASUS Ryzen 7 Octa Core,99996,5
335,HP Victus Intel Core i7 12th Gen,82990,4.5
336,HP Envy x360 Creator OLED Eyesafe Intel Evo Core i7 12th Gen,104990,4.3
337,ASUS Zenbook 17 Fold OLED Intel EVO Core i7 12th Gen,299990,0
338,HP Ryzen 9 Octa Core 6900HX,154490,0
339,HP Victus Intel Core i5 11th Gen,58990,4.1
340,ASUS Zenbook S 13 OLED Ryzen 5 Hexa Core 6600U,92990,4.9
341,Lenovo IdeaPad Ryzen 5 Hexa Core 5500U,50990,4.1
342,HP intel Celeron Dual Core,20990,3.9
343,HP Victus Intel Core i5 12th Gen,64990,4.3
344,ASUS ROG Strix G15 Ryzen 7 Octa Core 4800H,82990,4.8
345,acer Swift 3 Ryzen 5 Hexa Core 5500U,55990,4.5
346,MSI Core i5 12th Gen,54990,0
347,HP Victus Ryzen 7 Octa Core 5800H,81990,4
348,ASUS Vivobook S 14 Intel EVO H,62990,0
349,ASUS ROG Flow Z13 (2022) Core i7 12th Gen,148490,0
350,DELL Inspiron Ryzen 7 Octa Core 5700U,84990,4.2
351,HP Pavilion Gaming Ryzen 7 Octa Core AMD R7,79900,4.4
352,ASUS Vivobook S 14 Intel EVO H,66990,0
353,acer Extensa Core i3,38990,0
354,HP Pavilion x360 Core i7 12th Gen,92890,0
355,HP Victus Intel Core i7 12th Gen,82990,4.5
356,ASUS ROG Zephyrus M16 (2022) with 90Whr Battery Core i9 12th Gen,304990,0
357,HP Pavilion Core i5 12th Gen,69390,0
358,ASUS ROG Zephyrus G15 (2022) Ryzen 7 Octa Core 6800HS,157990,0
359,HP OMEN Ryzen 7 Octa Core AMD R7,110380,4.3
360,APPLE 2020 Macbook Air M1,84490,4.7
361,acer Predator Triton 500 SE Core i7 12th Gen,224990,0
362,APPLE 2022 MacBook AIR M2,139000,0
363,HP Victus Intel Core i5 11th Gen,58990,4.1
364,APPLE 2021 Macbook Pro M1 Pro,219894,4.8
365,DELL Vostro Core i3 11th Gen,42907,4.1
366,ASUS ROG Strix G15 (2022) with 90Whr Battery Ryzen 7 Octa Core 6800H,129990,0
367,HP Victus Intel Core i5 12th Gen,64990,4.3
368,DELL Vostro Core i5 12th Gen,69490,4.8
369,Lenovo IdeaPad Gaming 3 Intel Core i7 12th Gen,117990,4
370,Lenovo Legion 5 Pro Ryzen 7 Octa Core 5800H,142990,4.7
371,HP Victus Ryzen 7 Octa Core 5800H,81990,4
372,ASUS Vivobook Go 15 OLED (2023) Ryzen 3 Quad Core 7320U,47990,0
373,DELL Ryzen 7 Octa Core AMD R7,99990,5
374,DELL Inspiron Ryzen 5 Hexa Core 5625U,78061,0
375,MSI Bravo 15 Ryzen 7 Octa Core 5800H,62990,0
376,ASUS Vivobook 16 (2023) Ryzen 7 Octa Core 7730U,68990,0
377,HP Pavilion Core i5 12th Gen,70990,0
378,DELL G15 Core i5 12th Gen,79990,3.9
379,HP Pavilion Gaming Ryzen 7 Octa Core AMD R7,79999,4.4
380,HP OMEN Core i7 12th Gen,137799,0
381,ASUS VivoBook 14 Core i3 12th Gen,42990,4.1
382,APPLE 2021 Macbook Pro M1 Pro,259900,4.8
383,HP Victus Intel Core i7 12th Gen,82990,4.5
384,ASUS ROG Flow Z13 (2022) Core i7 12th Gen,148490,0
385,ASUS Vivobook 15 Core i3 11th Gen,37699,4.3
386,HP OMEN Ryzen 5 Hexa Core AMD R5,74490,4.8
387,HP Victus Intel Core i5 11th Gen,58990,4.1
388,Lenovo Yoga Slim 7 Pro Intel Core i5 11th Gen,69990,4.1
389,GIGABYTE AERO 5 KE4 Core i7 12th Gen,149990,0
390,ASUS Zenbook 13 Intel EVO Core i5 11th Gen,64990,4.4
391,HP Victus Intel Core i5 12th Gen,64990,4.3
392,ASUS Vivobook S14 OLED (2022) Intel EVO Core i7 12th Gen,82990,4.1
393,APPLE MacBook Air M1,132900,4.7
394,DELL Vostro Core i3 11th Gen,42690,4.3
395,MSI Bravo 15 Ryzen 7 Octa Core 5800H,62990,0
396,DELL Inspiron Core i5 12th Gen,83192,4.2
397,ASUS Vivobook 15 Core i3 11th Gen,37990,4
398,ASUS ROG Flow X16 (2022) with 90Whr Battery Ryzen 7 Octa Core AMD R7,171990,0
399,HP Victus Ryzen 7 Octa Core 5800H,81990,4
400,ASUS ROG Strix G15 (2022) with 90Whr Battery Ryzen 9 Octa Core 6900HX,177990,0
401,MSI Core i7 13th Gen,129990,0
402,ASUS ROG Zephyrus G15 (2022) Ryzen 9 Octa Core 6900HS,211990,0
403,HP Pavilion Gaming Ryzen 7 Octa Core AMD R7,79999,4.4
404,DELL Inspiron Core i3 11th Gen,50990,4.3
405,GIGABYTE G5 MD Core i5 11th Gen,76990,0
406,ASUS VivoBook K15 OLED Ryzen 7 Octa Core AMD R7,63990,4.6
407,HP Victus Intel Core i7 12th Gen,82990,4.5
408,DELL Inspiron Ryzen 7 Octa Core 5825U,88990,5
409,HP Core i7 12th Gen,199999,0
410,DELL Ryzen 3 Quad Core 5425U,43490,4.4
411,HP Victus Intel Core i5 11th Gen,58990,4.1
